name,html,icon,img,x_coordinate,y_coordinate
Albury: School Zone RLSC,"<img src=""https://doc-0k-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/49jkgsibrpjc7i0bl269v1on1s/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9lT04JcRIYwcC86kcQHJmG1vLsNwWQDYN3on7lOfgzMHHZq6fBJl8HwciUKJp0XLknMJ4uDH9WN074wSvSKl6QSn4ktW390bqfWoGjr_g_7EwLmtcIfivbQ5Mjusp_ImSpDIGmvJsZsCdHLScAtBoGCwc0JxsC0TYx3rUQ8kNXbByVv6urMX1qg-LMu?session=0&fife"" height=""200"" width=""auto"" /><br><br>Albury -ÿBorella Road / Young Street.<br>Note: Variable Speed Limit Enforced.<br><br>WestBound (Also monitoring both right & left hand turns). EastBound is yet to be confirmed.",#icon-1535-C2185B,https://doc-0k-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/49jkgsibrpjc7i0bl269v1on1s/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9lT04JcRIYwcC86kcQHJmG1vLsNwWQDYN3on7lOfgzMHHZq6fBJl8HwciUKJp0XLknMJ4uDH9WN074wSvSKl6QSn4ktW390bqfWoGjr_g_7EwLmtcIfivbQ5Mjusp_ImSpDIGmvJsZsCdHLScAtBoGCwc0JxsC0TYx3rUQ8kNXbByVv6urMX1qg-LMu?session=0&fife,146.9254257,-36.0752574
Alexandria: Red-Light Speed Cameras,"<img src=""https://doc-0k-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/vsnsqfatjd1112t5ve667v5s48/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9le9Sp6dHilq9h8uPovCEi00QXBITP8djN-zuSH5ctSSQpAiwZzcdtwzPyd9q_W6VdDTVosyGcG6dHzUOtom2SZqacVwk3f9juaFF9lIPacFufbOPTEn6aQC64mlB5BhZ033L63daw-OZDFGY_7oD1yBo-ztlVKEN_Y51DF_76Zy1WGL78Ovgv4_Cxr?session=0&fife"" height=""200"" width=""auto"" /><br><br>Alexandria - Mcevoy St / Botany Rd.<br><br>EastBound & WestBound.",#icon-1535-A52714,https://doc-0k-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/vsnsqfatjd1112t5ve667v5s48/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9le9Sp6dHilq9h8uPovCEi00QXBITP8djN-zuSH5ctSSQpAiwZzcdtwzPyd9q_W6VdDTVosyGcG6dHzUOtom2SZqacVwk3f9juaFF9lIPacFufbOPTEn6aQC64mlB5BhZ033L63daw-OZDFGY_7oD1yBo-ztlVKEN_Y51DF_76Zy1WGL78Ovgv4_Cxr?session=0&fife,151.2011517,-33.9014752
Alexandria: Red-Light Speed Camera,"<img src=""https://doc-10-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/aut94v6ckps3bl4e4g7bcofipk/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9km7_LQpzlrA7jqr9CCFzi5pZfP9JP7q0u9Sxm1muoGe9rLYOSOOxUGw2-MAsZQY9_uUGnDHb5KawMkoJD9tDFRNJoldo3TH2L8sCzR-SGoAjZidt_dPn9F9y1H9pANOVKV03rXiJfR7y8Cmo0vL4miDxh6MuYp2_qU3hsF-dJ0HPdLtO12WF77Pkay?session=0&fife"" height=""200"" width=""auto"" /><br><br>Alexandria - Bourke St / Botany Rd / O'Riordan St.<br><br>South-WestBound.",#icon-1535-A52714,https://doc-10-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/aut94v6ckps3bl4e4g7bcofipk/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9km7_LQpzlrA7jqr9CCFzi5pZfP9JP7q0u9Sxm1muoGe9rLYOSOOxUGw2-MAsZQY9_uUGnDHb5KawMkoJD9tDFRNJoldo3TH2L8sCzR-SGoAjZidt_dPn9F9y1H9pANOVKV03rXiJfR7y8Cmo0vL4miDxh6MuYp2_qU3hsF-dJ0HPdLtO12WF77Pkay?session=0&fife,151.202838,-33.905526
Allawah: Red-Light Speed Camera,"<img src=""https://doc-0o-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/biu1kg8qum2sghsp5coo92hito/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9nfUreIoU0xlqtfW23kI9Tj7emfp3zm28TctnR0XV40W32bONG2T3vv16YFQdD4nLHbrxYt6F0GO76OgOhMP0ttgZrAccWAK1F7lUIR557iWQKCgcR9-mBOQVuMT4f35I8v57bSvZMeBJzAhc5d5BH3yAAY3aEeL27NnLSNUw3vbow18t9kXjlQjCmW?session=0&fife"" height=""200"" width=""auto"" /><br><br>Allawah - Princes Hwy A1 / Park Rd.<br><br>North-WestBound",#icon-1535-A52714,https://doc-0o-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/biu1kg8qum2sghsp5coo92hito/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9nfUreIoU0xlqtfW23kI9Tj7emfp3zm28TctnR0XV40W32bONG2T3vv16YFQdD4nLHbrxYt6F0GO76OgOhMP0ttgZrAccWAK1F7lUIR557iWQKCgcR9-mBOQVuMT4f35I8v57bSvZMeBJzAhc5d5BH3yAAY3aEeL27NnLSNUw3vbow18t9kXjlQjCmW?session=0&fife,151.122571,-33.905526
Ashfield: Red-Light Speed Camera,"<img src=""https://doc-0k-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/f9pcq17pps9j36b6je62hgq6rc/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9lmuOxJenxdqe6GwcBcv5tt0O_cp5HUV1xrh1lj6cmh-pQF3OUGBlvp8daIVDnki63wc9pjQ6zHLTfwyK735GE6dESVe36PZEwDA4C4Q4Tc8l_KTRhMCTTRtjhTrMmXXuf9OySKOOU0qlhWWXat_VsQqNdATo4BTg2WBrcr1WYVEHMWUbqPm_roeY0V?session=0&fife"" height=""200"" width=""auto"" /><br><br>Ashfield - Hume Hwy A22 / Fredrick St / Milton St.<br><br>SouthBound.",#icon-1535-A52714,https://doc-0k-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/f9pcq17pps9j36b6je62hgq6rc/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9lmuOxJenxdqe6GwcBcv5tt0O_cp5HUV1xrh1lj6cmh-pQF3OUGBlvp8daIVDnki63wc9pjQ6zHLTfwyK735GE6dESVe36PZEwDA4C4Q4Tc8l_KTRhMCTTRtjhTrMmXXuf9OySKOOU0qlhWWXat_VsQqNdATo4BTg2WBrcr1WYVEHMWUbqPm_roeY0V?session=0&fife,151.1174803,-33.8884728
Auburn: Red-Light Speed Camera,"<img src=""https://doc-0s-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/av8hqudf52n2flvmk7v04so9ms/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9kwBH6vQ83DJnbS59djRIPn-c_BT5PbX9-BjGcK7yRQ-dGPBiU1yXuB6SEXJM6Ae2IYfvuoqIw6--VkIIvXkXA4vxM-RPQc61unQPHMhuSgtDvS1PwqO-Dk8-yOMJqEc_ITWebVO08SwfXX6Fg6pHyFzjSdHPEBFnZ18hm-mvKsnjMbz8JkBRBqLffx?session=0&fife"" height=""200"" width=""auto"" /><br><br>Auburn - Chisholm Rd / Mona St.<br><br>NorthBound.",#icon-1535-A52714,https://doc-0s-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/av8hqudf52n2flvmk7v04so9ms/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9kwBH6vQ83DJnbS59djRIPn-c_BT5PbX9-BjGcK7yRQ-dGPBiU1yXuB6SEXJM6Ae2IYfvuoqIw6--VkIIvXkXA4vxM-RPQc61unQPHMhuSgtDvS1PwqO-Dk8-yOMJqEc_ITWebVO08SwfXX6Fg6pHyFzjSdHPEBFnZ18hm-mvKsnjMbz8JkBRBqLffx?session=0&fife,151.0214619,-33.8481914
Auburn: Red-Light Speed Camera,"<img src=""https://doc-10-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/bfs0majra9084a8je8a9coemnk/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9kqBz4--jsEuZdZqz1sKKOsb_Ujjvrx5v4HjmnwNZ9BzOiWBuOBOXnmF9bBG7EUgRi2lTU11bCXOMR-S-m1o3u09L1bLcC1LNGRpimxDFFAuS4FFzqV0PPLpYSsQ4rxbCs-dv5UqwPir_jepCFMukDOgocVC51XtOens_GpO00AnAFkbPc-9PG7kJMC?session=0&fife"" height=""200"" width=""auto"" /><br><br>Auburn - Rawson Street / Northumberland Road<br><br>South-East Bound",#icon-1535-A52714,https://doc-10-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/bfs0majra9084a8je8a9coemnk/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9kqBz4--jsEuZdZqz1sKKOsb_Ujjvrx5v4HjmnwNZ9BzOiWBuOBOXnmF9bBG7EUgRi2lTU11bCXOMR-S-m1o3u09L1bLcC1LNGRpimxDFFAuS4FFzqV0PPLpYSsQ4rxbCs-dv5UqwPir_jepCFMukDOgocVC51XtOens_GpO00AnAFkbPc-9PG7kJMC?session=0&fife,151.0333228,-33.849216
Auburn: Red-Light Speed Camera,"<img src=""https://doc-00-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/ao6lim04922tenvgbo5a6kkbck/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9kZtY4WLCH_EZ7_WW6-YxJLU141K9y2d3farBcQW_NDAGgt2PsDov4z2i-0z3eBemkhtOKOWpIrMI_hhJPUMVxqzHxnqv03DgZHPsUtLU8h80m4XG_inXQyGt5u294aRYkI-z-oSb_0qQhTpSsoK8hnVwjHjL63jz8lqdGuVM7nbv8Sj7CVC2uR5W8S?session=0&fife"" height=""200"" width=""auto"" /><br><br>Auburn - Rawson Street / Station Road.<br><br>North-WestBound.",#icon-1535-A52714,https://doc-00-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/ao6lim04922tenvgbo5a6kkbck/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9kZtY4WLCH_EZ7_WW6-YxJLU141K9y2d3farBcQW_NDAGgt2PsDov4z2i-0z3eBemkhtOKOWpIrMI_hhJPUMVxqzHxnqv03DgZHPsUtLU8h80m4XG_inXQyGt5u294aRYkI-z-oSb_0qQhTpSsoK8hnVwjHjL63jz8lqdGuVM7nbv8Sj7CVC2uR5W8S?session=0&fife,151.0346769,-33.8499838
Banksmeadow: Red-Light Speed Cameras,"<img src=""https://doc-0o-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/sa8o9k0faptgrf4ker8usevnd8/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9lrh0TfO9ecdaIyAOukZHDATAT-r3Jl5RjrwPmiwUptkBf6xc5dlTMmMqE5Ai30h8aUUfOdPDqoxKgxAQmyytV3b5bPcHAYzcFcUylxPsXreQQQs4clACk8sNhsLGWHclV3y9iWHoi9UzqnjP4YOMtrCz2Glm0w0yWQPS3x8CUnMaJLqMnYrW21grX7?session=0&fife"" height=""200"" width=""auto"" /><br><br>Banksmeadow - Foreshore Road / Botany Road.<br><br>EastBound & WestBound",#icon-1535-A52714,https://doc-0o-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/sa8o9k0faptgrf4ker8usevnd8/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9lrh0TfO9ecdaIyAOukZHDATAT-r3Jl5RjrwPmiwUptkBf6xc5dlTMmMqE5Ai30h8aUUfOdPDqoxKgxAQmyytV3b5bPcHAYzcFcUylxPsXreQQQs4clACk8sNhsLGWHclV3y9iWHoi9UzqnjP4YOMtrCz2Glm0w0yWQPS3x8CUnMaJLqMnYrW21grX7?session=0&fife,151.2146643,-33.9618466
Bankstown: School Zone RLSC,"<img src=""https://doc-0o-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/5cpvr2ckbmpf7favt6jtrtlhjk/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9m7rYnTkpN9nCd_OUp_TjiDEu4JYi4Abl8lmpCL9Pj-6TBlSFsuEk0k8scR_EfxwZXsVpK465Bt6zriIe0h67e2uIOA9knRsSBV-JG9FqJ8ZSVrAx91efyBUtX50cUrpBUwvDDpU72o1XCVFrmR05dX323umyytnFXbiQKM6lKKUN-s3vQ6MA4Qkc_J?session=0&fife"" height=""200"" width=""auto"" /><br><br>Bankstown - Meredith St / Hume Hwy.<br>Note: Variable Speed Limit Enforced.<br><br>NorthBound",#icon-1535-C2185B,https://doc-0o-7k-mymaps.googleusercontent.com/untrusted/hostedimage/l6g5ndp3jkqtbhkj1l07plc9fc/5cpvr2ckbmpf7favt6jtrtlhjk/1667967300000/xnVxv9drjIqXT35k_96iSmnVSuxYXQQp/*/6AKgB-9m7rYnTkpN9nCd_OUp_TjiDEu4JYi4Abl8lmpCL9Pj-6TBlSFsuEk0k8scR_EfxwZXsVpK465Bt6zriIe0h67e2uIOA9knRsSBV-JG9FqJ8ZSVrAx91efyBUtX50cUrpBUwvDDpU72o1XCVFrmR05dX323umyytnFXbiQKM6lKKUN-s3vQ6MA4Qkc_J?session=0&fife,151.033325,-33.907354
